article_id,journal_name,cluster
88767,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88768,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,24
88769,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88770,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,35
88771,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,42
88772,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,21
88773,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88774,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,35
88775,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,38
88776,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,35
88777,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,29
88778,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2
88779,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88780,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88781,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,24
88782,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,8
88783,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88784,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,38
88785,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,25
88786,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88787,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,38
88788,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88789,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88790,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,32
88791,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,10
88792,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88793,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,24
88794,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88795,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,10
88796,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,10
88797,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,10
88798,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88799,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88800,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,11
88801,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,38
88802,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,10
88803,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,27
88804,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88805,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88806,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,38
88807,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,19
88808,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88809,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,5
88810,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88811,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88812,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,29
88813,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88814,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,1
88815,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88816,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88817,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,25
88818,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88819,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,1
88820,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88821,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,29
88822,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88823,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88824,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88825,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88826,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,11
88827,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,1
88828,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88829,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88830,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,1
88831,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,11
88832,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88833,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88834,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88835,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88836,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88837,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,3
88838,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,27
88839,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88840,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,39
88841,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,1
88842,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88843,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88845,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88846,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,26
88847,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,26
88848,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88849,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88850,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88851,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88852,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88853,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88854,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,29
88855,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88856,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,15
88857,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88858,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,26
88859,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88860,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88861,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,19
88862,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,15
88863,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88864,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88865,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88866,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,8
88867,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,26
88868,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,13
